Iteration,    Jacobi Error  ,Gauss-Seidel Error,SOR Error
,,,
1,1,1,1
2,1,1,1
3,0.423,0.418,0.433
4,0.26,0.222,0.108
5,0.174,0.13,0.058
6,0.125,0.08,0.036
